Date|price|Откр.|Макс.|Мин.|Изм.%
31.01.2011|-16.601|-16.601|-16.601|-16.601|-0.19%
01.02.2011|-17.149|-17.149|-17.149|-17.149|3.30%
02.02.2011|-17.025|-17.025|-17.025|-17.025|-0.72%
03.02.2011|-16.838|-16.838|-16.838|-16.838|-1.10%
04.02.2011|-16.946|-16.946|-16.946|-16.946|0.64%
07.02.2011|-17.121|-17.121|-17.121|-17.121|1.03%
08.02.2011|-17.081|-17.081|-17.081|-17.081|-0.23%
09.02.2011|-17.025|-17.025|-17.025|-17.025|-0.33%
10.02.2011|-16.859|-16.859|-16.859|-16.859|-0.98%
11.02.2011|-16.843|-16.843|-16.843|-16.843|-0.09%
14.02.2011|-16.728|-16.728|-16.728|-16.728|-0.68%
15.02.2011|-16.714|-16.714|-16.714|-16.714|-0.08%
16.02.2011|-16.779|-16.779|-16.779|-16.779|0.39%
17.02.2011|-16.777|-16.777|-16.777|-16.777|-0.01%
18.02.2011|-16.677|-16.677|-16.677|-16.677|-0.60%
21.02.2011|-16.627|-16.627|-16.627|-16.627|-0.30%
22.02.2011|-16.399|-16.399|-16.399|-16.399|-1.37%
23.02.2011|-16.436|-16.436|-16.436|-16.436|0.23%
24.02.2011|-16.531|-16.531|-16.531|-16.531|0.58%
25.02.2011|-16.817|-16.817|-16.817|-16.817|1.73%
28.02.2011|-17.073|-17.073|-17.073|-17.073|1.52%
01.03.2011|-17.165|-17.165|-17.165|-17.165|0.54%
02.03.2011|-17.192|-17.192|-17.192|-17.192|0.16%
03.03.2011|-17.578|-17.578|-17.578|-17.578|2.25%
04.03.2011|-17.700|-17.700|-17.700|-17.700|0.69%
07.03.2011|-17.899|-17.899|-17.899|-17.899|1.12%
08.03.2011|-17.753|-17.753|-17.753|-17.753|-0.82%
09.03.2011|-17.713|-17.713|-17.713|-17.713|-0.23%
10.03.2011|-17.560|-17.560|-17.560|-17.560|-0.86%
11.03.2011|-17.444|-17.444|-17.444|-17.444|-0.66%
14.03.2011|-17.499|-17.499|-17.499|-17.499|0.32%
15.03.2011|-17.231|-17.231|-17.231|-17.231|-1.53%
16.03.2011|-17.095|-17.095|-17.095|-17.095|-0.79%
17.03.2011|-17.176|-17.176|-17.176|-17.176|0.47%
18.03.2011|-18.050|-18.050|-18.050|-18.050|5.09%
21.03.2011|-18.112|-18.112|-18.112|-18.112|0.34%
23.03.2011|-18.062|-18.062|-18.062|-18.062|-0.28%
24.03.2011|-18.190|-18.190|-18.190|-18.190|0.71%
25.03.2011|-18.273|-18.273|-18.273|-18.273|0.46%
28.03.2011|-18.300|-18.300|-18.300|-18.300|0.15%
29.03.2011|-18.095|-18.095|-18.095|-18.095|-1.12%
30.03.2011|-18.183|-18.183|-18.183|-18.183|0.49%
31.03.2011|-18.220|-18.220|-18.220|-18.220|0.20%
01.04.2011|-18.450|-18.450|-18.450|-18.450|1.26%
04.04.2011|-18.588|-18.588|-18.588|-18.588|0.75%
05.04.2011|-18.422|-18.422|-18.422|-18.422|-0.89%
06.04.2011|-18.493|-18.493|-18.493|-18.493|0.39%
07.04.2011|-18.414|-18.414|-18.414|-18.414|-0.43%
08.04.2011|-18.434|-18.434|-18.434|-18.434|0.11%
11.04.2011|-18.384|-18.384|-18.384|-18.384|-0.27%
12.04.2011|-18.174|-18.174|-18.174|-18.174|-1.14%
13.04.2011|-18.268|-18.268|-18.268|-18.268|0.52%
14.04.2011|-18.059|-18.059|-18.059|-18.059|-1.14%
15.04.2011|-18.048|-18.048|-18.048|-18.048|-0.06%
18.04.2011|-17.603|-17.603|-17.603|-17.603|-2.47%
19.04.2011|-17.756|-17.756|-17.756|-17.756|0.87%
20.04.2011|-17.962|-17.962|-17.962|-17.962|1.16%
21.04.2011|-17.972|-17.972|-17.972|-17.972|0.06%
22.04.2011|-17.929|-17.929|-17.929|-17.929|-0.24%
25.04.2011|-17.955|-17.955|-17.955|-17.955|0.15%
26.04.2011|-17.939|-17.939|-17.939|-17.939|-0.09%
27.04.2011|-18.024|-18.024|-18.024|-18.024|0.47%
28.04.2011|-18.114|-18.114|-18.114|-18.114|0.50%
